"","network_code","network_name","park_code","park_name","site_name","station_code","station_name","event_date_UTC","reader_name","marker_horizon_name","core_measurement_number","core_measurement_depth_mm","core_type","core_condition","core_event_notes","core_notes","established_date","retired_date","validation_status","validation_date","validation_name","dpl"
"38","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","B",2,54,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"39","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","B",3,34,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"40","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","C",1,23,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"41","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","C",2,27,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"42","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","C",3,32,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"43","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","C",4,33,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"44","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","A",1,35,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"45","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","A",2,36,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"46","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","A",3,37,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"47","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","C",1,21,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"48","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","C",2,22,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"49","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","A",1,27,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"50","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","A",2,25,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"51","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","A",3,25,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"52","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","B",1,25,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"53","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","B",2,25,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"54","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2014-12-01,"Lynch, James - NCBN","B",3,25,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"55","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","C",1,38,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"56","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","C",2,32,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"57","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","C",3,32,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"58","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","A",1,20,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"59","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","A",2,20,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"60","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","A",3,22,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"61","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","B",1,32,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"62","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","B",2,30,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"63","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-04-23,"Lynch, James - NCBN","B",3,31,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
